Signature,Alternative signatures,Transliterated runic text,Translation to English,Found location,Parish,Municipality,District,Current location,Images,latitude,longitude
"Öl ATA4686/43","","× blakari × auk · k... + faþur · sin kuþan","Blákári and ... their good father.","Åkerby","Runstens sn","Borgholm","Runstens hd","Vid Himmelsberga, Långlöts sn.","http://kulturarvsdata.se/raa/kmb/html/16000300014054;http://kulturarvsdata.se/raa/kmb/html/16000300014053;http://kulturarvsdata.se/raa/kmb/html/16000300014055","56.679901","16.683404"
"Öl ATA4700/43","","... bryþr · r-... ...","... brothers ... ...","Gärdslösa kyrka","Gärdslösa sn","Borgholm","Runstens hd","I tornrummet.","","56.79351","16.737375"
"Öl ATA4701/43","","...ur × -uk ak-u... ... nuk abtiR × auþ... ...","... ... ... ... and in memory of Auðbjôrn(?) ...","Alböke kyrkogård","Alböke sn","Borgholm","Slättbo hd","","http://kulturarvsdata.se/raa/kmb/html/16000300014015;http://kulturarvsdata.se/raa/kmb/html/16000300014014;http://kulturarvsdata.se/raa/kmb/html/16000300014013;http://kulturarvsdata.se/raa/kmb/html/16000300014017;http://kulturarvsdata.se/raa/kmb/html/16000300014011;http://kulturarvsdata.se/raa/kmb/html/16000300014012;http://kulturarvsdata.se/raa/kmb/html/16000300014010;http://kulturarvsdata.se/raa/kmb/html/16000300014016;http://kulturarvsdata.se/raa/kmb/html/16000300014009;http://kulturarvsdata.se/raa/kmb/html/16000300014008","56.947636","16.784168"
"Öl ATA4703/43","","§P ... --k kuþ---r · li-u · resa st-- þ--- r... §Q þurlak ¶ ...(u)k ¶ kuþmuþr litu risa st... ... (þ)(u)rbia...","§P ... and Guð-... had this stone raised ... §Q Þorlakr and Guðmóðr had the stone raised in memory of Þorbjôrn.","Solberga (Tingsdal)","Köpings sn","Borgholm","Slättbo hd","","http://kulturarvsdata.se/raa/kmb/html/16000300014155;http://kulturarvsdata.se/raa/kmb/html/16000300014154;http://kulturarvsdata.se/raa/kmb/html/16000300014156","56.877977","16.710983"
"Öl ATA4705/43","","...a · þi...","... ...","Hulterstads kyrkogård","Hulterstads sn","Mörbylånga","Möckleby hd","Kalmar slott (KLM 12231), försvunnet.","","56.449416","16.567553"
"Öl ATA4375/56","","... ...ftiR ÷ systu ÷ kunu ÷ si... ...","... in memory of Systa, his wife ...","Hulterstads prästgård","Hulterstads sn","Mörbylånga","Möckleby hd","I tornkammaren.","","56.448816","16.583206"
"Öl ATA4376/56A","","... ...ynt · sun s...","... Eyndr, his/her son.","Hulterstads kyrka","Hulterstads sn","Mörbylånga","Möckleby hd","I tornkammaren.","","56.449398","16.567634"
"Öl ATA4376/56B","","... ...-r + (k)(o)-l ' faþur + sin","... in memory of <ko-l>, his/her father.","Hulterstads kyrka","Hulterstads sn","Mörbylånga","Möckleby hd","I tornkammaren.","","56.449398","16.567634"
"Öl ATA4377/56A","","...---m-a u---kirkra ...- na-i...","... ... ... ...","Hulterstads kyrka","Hulterstads sn","Mörbylånga","Möckleby hd","I vapenhuset.","","56.449398","16.567634"
"Öl ATA4377/56B","","...","...","Hulterstads kyrkogård","Hulterstads sn","Mörbylånga","Möckleby hd","","","56.449398","16.567634"
"Öl ATA4378/56","","...na : auk : ...","... and ...","Triberga, Kristinero","Hulterstads sn","Mörbylånga","Möckleby hd","I tornkammaren.","","56.467502","16.57507"
"Öl ATA4063/60","","... ...alt × faþur × sin × han + s...","... ...-aldr, his/her father. He ...","Gårdstorp","Södra Möckleby sn","Mörbylånga","Gräsgårds hd","Kalmar slott (KLM 28352)","","56.361048","16.420973"
"Öl ATA4064/60A","","þo-... ... ...(t)u × ulf × hakua × seina","Þor-... ... had Ulfr cut the stones.","Mörbylånga kyrka","Mörbylånga sn","Mörbylånga","Algutsrums hd","","","56.519774","16.399105"
"Öl ATA4064/60B","","... ...-rbiu... ...","... Þorbjôrn ...","Mörbylånga kyrka","Mörbylånga sn","Mörbylånga","Algutsrums hd","","","56.519774","16.399105"
"Öl ATA4064/60C","","... ...uml × ...","... monument(s) ...","Mörbylånga kyrka","Mörbylånga sn","Mörbylånga","Algutsrums hd","","","56.519774","16.399105"
"Öl ATA4976/70","","°","°","Långlöts kyrka","Långlöts sn","Borgholm","Runstens hd","","","56.739147","16.724411"
"Öl ATA3960/71","","... uk · þur-... ...","... and Þor-... ...","Mörbylånga by (12:3)","Mörbylånga sn","Mörbylånga","Algutsrums hd","I kyrkan.","","56.520779","16.399381"
"Öl ATA411-4568-1998A","","...---...","...","Hulterstads kyrka","Hulterstads sn","Mörbylånga","Möckleby hd","I tornkammaren.","","56.449398","16.567634"
"Öl ATA411-4568-1998B","","... ...it ÷ reisa ÷ stein ÷ þ... ...","... had the stone raised ...","Hulterstads kyrka","Hulterstads sn","Mörbylånga","Möckleby hd","I tornkammaren.","","56.449398","16.567634"
"Öl ATA411-4568-1998C","","... × eftiR + kuna + faþ-... ...-al...","... in memory of Gunni, (his/her/their) father ...","Hulterstads kyrka","Hulterstads sn","Mörbylånga","Möckleby hd","I tornkammaren.","","56.449398","16.567634"
"Öl ATA411-4568-1998D","","... ...uk ' eimundr ' þ...","... and Eimundr ...","Hulterstads kyrka","Hulterstads sn","Mörbylånga","Möckleby hd","I tornkammaren.","","56.449398","16.567634"
"Öl ATA322-4215-2004","","× suein ...","Sveinn ...","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","I västra kyrkogårdsmurens utsida, 6 m S ingången till kyrkogården.","","56.878121","16.718417"
"Öl BN57","","... ...rgils · faþur · s-... ...","... Þorgísl, his/her father ...","Sandby kyrkogård","Sandby sn","Mörbylånga","Möckleby hd","","http://kulturarvsdata.se/raa/kmb/html/16000300014050","56.580776","16.640832"
"Öl Fv1911;274A","","...tin kuna hia...b... ...","... ... ... ...","Räpplinge kyrka","Räpplinge sn","Borgholm","Slättbo hd","SHM (14533:1)","http://kulturarvsdata.se/shm/media/html/24135;http://kulturarvsdata.se/shm/media/html/40648","56.828482","16.664514"
"Öl Fv1911;274B","","... ...ina ' eftiR ' sueinu ' boanta ' sin ' tr...","... the stones in memory of Sveina, her husband. ...","Resmo kyrka","Resmo sn","Mörbylånga","Algutsrums hd","SHM (14533:2)","http://kulturarvsdata.se/raa/kmb/html/16000300014000;http://kulturarvsdata.se/raa/kmb/html/16000300013999;http://kulturarvsdata.se/raa/kmb/html/16000300014006;http://kulturarvsdata.se/raa/kmb/html/16000300014004;http://kulturarvsdata.se/shm/media/html/24066;http://kulturarvsdata.se/shm/media/html/339522","56.54135","16.443755"
"Öl Fv1911;274C","","°","°","Resmo kyrka","Resmo sn","Mörbylånga","Algutsrums hd","SHM (14533:3)","","56.54135","16.443755"
"Öl Fv1917(2);27","","°","°","Hulterstads kyrkogård","Hulterstads sn","Mörbylånga","Möckleby hd","SHM (15736)","http://kulturarvsdata.se/shm/media/html/24351","56.449398","16.567634"
"Öl Fv1918(2);15","","§P × ilu × hain × okrl × þisa §Q × ilu × hain × a(k)ru(k) × þisa §R × -(t)| |(t)u × hain × a (k)rum × þisa §S × -(t)| |(t)u × hain × a- ruk × þisa","§P From evil(?) (protect) this bachelor(?) (who owns this). §Q ... ... ... ... §R Eat you, whetstone, to your misfortune. §S Devour this ridge of the whetstone (on which the runes stand).","Borgholms slott (?)","Borgholm","Borgholm","Slättbo hd","SHM (15904:8)","","56.870739","16.644"
"Öl Fv1972;266","","iohanes : --...-ena","Jóhannes ...","Borgs kyrkoruin","Räpplinge sn","Borgholm","Slättbo hd","SHM","","56.870262","16.64681"
"Öl KALM1982;57","","ioar : au- : sbia- : auk : elifr : auk : bofi : þaiR : letu : ...-sa : stain R--...- faþ-r sin saifok","Jóarr and Sjall and Eilífr/Eileifr and Bófi, they had the stone raised in memory of their father, Sæfúss.","Mörbylånga kyrka","Mörbylånga sn","Mörbylånga","Algutsrums hd","","","56.519662","16.398242"
"Öl KLM22910","","...i(m)it...","...","Sandby kyrkogård","Sandby sn","Mörbylånga","Möckleby hd","Kalmar läns museum (KLM 22910), försvunnet.","","56.580776","16.640832"
"Öl Köping1","","... riti : st-... ...-... ...(b) (×) (s)...","... erected the stone ... ... ...","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","I tornet.","","56.878121","16.718417"
"Öl Köping2","","... ...þ hialbi × henaR × salu × auk ...","... May God help her soul and ...","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","I vapenhuset.","","56.878149","16.718204"
"Öl Köping3","","... bui × lit × r... ... sin ku...","... Búi/...-búi had (the stone) raised/erected ... his good ...","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","SHM (15893), deponerad i tornet.","http://kulturarvsdata.se/shm/media/html/40659;http://kulturarvsdata.se/shm/media/html/40658","56.878121","16.718417"
"Öl Köping5","","× k-...","...","Köpings kyrkogård","Köpings sn","Borgholm","Slättbo hd","I tornet.","","56.878121","16.718417"
"Öl Köping7","","þirui ' (r)i-... ... -aistu · at bruþur · sin","Þyrvé raised ... raised (it) in memory of their brother.","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","I tornet.","","56.878121","16.718417"
"Öl Köping8","","... : la...","... ...","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","SHM (25339:38), deponerad, i tornet.","","56.878121","16.718417"
"Öl Köping9","Öl ATA2056/75A","...k---... ¶ ...f...","... ...","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","SHM (17565:6(9)), deponerad i tornet.","http://kulturarvsdata.se/shm/media/html/40664;http://kulturarvsdata.se/shm/media/html/40665","56.878121","16.718417"
"Öl Köping10","","... ...- · st... ...","... in memory of(?) ... ...","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","SHM (25339:37), deponerad i tornet.","","56.878121","16.718417"
"Öl Köping11","","°","°","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","SHM (15535:15), deponerad i tornet.","http://kulturarvsdata.se/raa/kmb/html/16000300014044","56.878121","16.718417"
"Öl Köping12","","... · ra... ...","... ... ...","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","SHM (25339:36), deponerad i tornet.","http://www.kms.raa.se/cocoon/bild/show-image.html?id=16000300014031;http://kulturarvsdata.se/raa/kmb/html/16000300014031","56.878121","16.718417"
"Öl Köping13","","...-t(a)...","...","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","SHM (15535:6), deponerad i tornet.","","56.878121","16.718417"
"Öl Köping14","","...(r) × mest × a × -...","... the most in(?) ...","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","SHM (15535:8), deponerad i tornet.","","56.878121","16.718417"
"Öl Köping15","","°","°","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","SHM (25339A), deponerad i tornet.","","56.878121","16.718417"
"Öl Köping16","","... × þorki... ...","... Þor-... ...","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","SHM (15535:9), deponerad i tornet.","","56.878121","16.718417"
"Öl Köping17","","... biur... ...","... Bjôrn/...-bjôrn ...","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","SHM (25339B), deponerad i tornet.","","56.878121","16.718417"
"Öl Köping18","","...rmu-... ... ...n × iuk","... ... ... cut.","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","SHM (25339:2), deponerad i tornet.","","56.878121","16.718417"
"Öl Köping19","","°","°","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","SHM (25339:3), deponerad i tornet.","","56.878121","16.718417"
"Öl Köping20","","...(u)(r)(k)... ... ...-k × muþur × sina ... ...-albi × sial","... ... ... his/her mother. May (God) help (her) soul.","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","SHM (25339:4), deponerad i vapenhuset.","","56.878121","16.718417"
"Öl Köping21","","...uar lit ... þorkai... ...","<...uar> had ... Þorgeirr ...","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","SHM (15535:1), deponerad i tornet.","http://www.kms.raa.se/cocoon/bild/show-image.html?id=16000300014034;http://kulturarvsdata.se/raa/kmb/html/16000300014034","56.878121","16.718417"
"Öl Köping22","","...a at sui... ...","... in memory of Sveinn(?) ...","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","SHM (25339:5), deponerad i tornet.","http://www.kms.raa.se/cocoon/bild/show-image.html?id=16000300014046;http://kulturarvsdata.se/raa/kmb/html/16000300014041;http://kulturarvsdata.se/raa/kmb/html/16000300014046","56.878121","16.718417"
"Öl Köping23","","... ...- × suein × þaiR × retu ...","... and(?) Sveinn, they erected ...","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","SHM (17565:2), deponerad i tornet.","http://www.kms.raa.se/cocoon/bild/show-image.html?id=16000300014033;http://kulturarvsdata.se/raa/kmb/html/16000300014033;http://kulturarvsdata.se/shm/media/html/40663","56.878121","16.718417"
"Öl Köping24","","°","°","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","SHM (25339:6), deponerad i vapenhuset.","http://www.kms.raa.se/cocoon/bild/show-image.html?id=16000300014024;http://kulturarvsdata.se/raa/kmb/html/16000300014024;http://kulturarvsdata.se/raa/kmb/html/16000300014030","56.878121","16.718417"
"Öl Köping25","","°","°","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","SHM (25339:7), deponerad i vapenhuset.","http://www.kms.raa.se/cocoon/bild/show-image.html?id=16000300014029;http://kulturarvsdata.se/raa/kmb/html/16000300014029","56.878121","16.718417"
"Öl Köping26","","× asi × ...","Ási ...","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","SHM (15535:12), deponerad i vapenhuset.","http://www.kms.raa.se/cocoon/bild/show-image.html?id=16000300014025;http://kulturarvsdata.se/raa/kmb/html/16000300014025","56.878121","16.718417"
"Öl Köping27","","... × roþkerþa × a... ...","... Hróðgerða and(?) ...","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","SHM (15535:2, 15535:5) deponerad i vapenhuset.","http://www.kms.raa.se/cocoon/bild/show-image.html?id=16000300014023;http://kulturarvsdata.se/raa/kmb/html/16000300014023","56.878121","16.718417"
"Öl Köping28","","...-urn × ...","Bjôrn/...-bjôrn ...","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","SHM (17565:8), deponerad i tornet.","","56.878121","16.718417"
"Öl Köping29","","... × faþur × si... ...","... his/her father ...","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","SHM (15535:4), deponerad i tornet.","","56.878121","16.718417"
"Öl Köping30","","... ...uk × santa × mari × auk × san(t)... ...","... and Saint Mary and Saint ...","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","SHM (25339:9), deponerad i vapenhuset.","","56.878121","16.718417"
"Öl Köping31","","°","°","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","SHM (17565:4(1)), deponerad i tornet.","","56.878121","16.718417"
"Öl Köping32","","...an ' ...","... ...","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","SHM (15535:6(7), 25339:10), deponerad i vapenhuset.","","56.878121","16.718417"
"Öl Köping33","","... : rita ...","... erected ...","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","SHM (25339:11), deponerad i tornet.","","56.878121","16.718417"
"Öl Köping34","","§A -ota × auk + m... ... §B ko(þ)... ...","§A Dóta(?) and ... ... §B Good(?) ...","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","SHM (25339:12), deponerad i vapenhuset.","","56.878121","16.718417"
"Öl Köping35","","...s-...--n--...","...","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","SHM (25339:14), deponerad i vapenhuset.","http://www.kms.raa.se/cocoon/bild/show-image.html?id=16000300014027;http://kulturarvsdata.se/raa/kmb/html/16000300014027;http://kulturarvsdata.se/raa/kmb/html/16000300014039","56.878121","16.718417"
"Öl Köping36","","... auk ...","... and ...","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","SHM (25339:13), deponerad i vapenhuset.","","56.878121","16.718417"
"Öl Köping37","","...ir × eftiR ...","... in memory of ...","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","SHM (15535:13(18)), deponerad i vapenhuset.","","56.878121","16.718417"
"Öl Köping38","","...-in × auk × þiula... ... at × faþu... ...","... and Þjóð-... ... in memory of (their) father ...","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","SHM (25339:15), deponerad i vapenhuset.","http://www.kms.raa.se/cocoon/bild/show-image.html?id=16000300014044","56.878121","16.718417"
"Öl Köping39","","... ...r si × koþan × kuþ × ...","... his/her good father/brother. God ...","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","SHM (25339:16), deponerad i vapenhuset.","http://www.kms.raa.se/cocoon/bild/show-image.html?id=16000300014018;http://kulturarvsdata.se/raa/kmb/html/16000300014018;http://kulturarvsdata.se/raa/kmb/html/16000300014021;http://kulturarvsdata.se/raa/kmb/html/16000300014020;http://kulturarvsdata.se/raa/kmb/html/16000300014022;http://kulturarvsdata.se/raa/kmb/html/16000300014038","56.878121","16.718417"
"Öl Köping40","","...þulfR × kiarþi × kumb- ...","...-ulfr made the monument(s) ...","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","SHM (25339:17), deponerad i vapenhuset.","http://www.kms.raa.se/cocoon/bild/show-image.html?id=16000300014037;http://kulturarvsdata.se/raa/kmb/html/16000300014037","56.878121","16.718417"
"Öl Köping41","","i(a)... ... -uain · sun s... ...","... ... Sveinn, his/her son ...","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","SHM (25339:18), deponerad i tornet.","","56.878121","16.718417"
"Öl Köping42","","°","°","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","SHM (25339:19), deponerad i tornet.","","56.878121","16.718417"
